Field,Skills,Interest,,difficulty
software engineering ,"c++,java,python,testing and debugging,mobile development,web development,maths,Data Structures and Algorithms,java script,c,app development ","programming,problem solving,Project Management",,hard
data sciences ,"python,R,sql,database,power bi,teablue,pandas,tensorflow,AI,maths,statistics,machine learning,data cleaning,data wrangling,data preprocessing,prolem solving ","virtualization,research,Analytics,data analyst,data engineer ",,hard
IT development ,"Backend Frameworks,Documentation,Networking and Security,Performance Optimization,APIs,Cloud Computing,Networking Concepts","Debugging and Troubleshooting,Deployment and DevOps,Networking,Technology",,hard
cyber security ,"hacking,Cloud Computing,Operating System Security,Cryptography,Cloud Security,python,encoding ","Networking,Security,ethical hacking,Security Architecture and Design,Social Engineering,Forensics,Privacy Protection",,medium
Robotics ,"electronics, circuits, automation,dld,computer vision ,AI,Embedded Systems,python","Mechatronics,Technology, Hardwares",,easy 
Artificial Intelligence,"neural networking,deep learning, machine learning, AI, computer vision,open cv,problem solving,maths,Natrual language processing","computer vision,programming,critical thinking,Research and Innovation,Pattern Recognition",,easy 
photography,"critical thinking, editing,communication skills,time management,observation skills,designing skills,communication skills,analytic thinking,client interaction,Quality management, visual composition","environmental photography,wild life photography,timelapse photography,lifestyle photography,travel photography,food photography,candid photography,photojournalism,sports photography,",,hard
painting,"creativity skills,color theory, brush techniques,painting mediums, texture application,imagination skills,oil painting,canvas preparation,artistic expression,conceptualization,artistic adaptability,conceptual thinking","mixed media,realism,art gallery,cultural art,sculpture,illustration,art therapy,art education,art exhibitions, community art projects,art museums,fine arts,calligraphy,potraiture,craftsmanship",,medium
fashion designing,"fashion styling,fabric selection,presentation skills,pattern making,cae skills(computer-aided design/engineering,relevant for fashion design software),trend forecasting,costume design,brand development,cultural awareness in fashion","customization and personalization,fashion entrepreneurship,jewelry design,shoe design,fashion merchandising,fashion marketing,event planning,personal styling,costume and wardrobe department",,medium
english,"communication skills,writing skills,literature analysis,vocabulary deveopment,creative writing,copy writing,story telling,strong grammar and composition,technical writing,presentation skills,leadership","journalism and editing,cultural and media studies,teaching and education,speech writing,content writing,corporate communication,public humanities projects,public relations,screen writing",,hard
graphic designing,"designing skills,editing,multimedia design,layout design,logo design,illustration, animation,web design,print design,adobe creative suite (photoshop, illustrator),branding,digital imaging,vector graphics","app design,gaming industry,advertising and marketing,interior design,fashion industry,music industry,personal branding,technology and software,print media,e-learning,publications,brand identity",,easy 
drama,"acting,scripting ,scene study,directing, team work,presence of  mind,confidence,rehearsal management,voice modulation,teamwork,playwriting,audience engagement,lighting awareness","threatre production,drama education, film and tv productions,tv commercials,acting and production,scriptwriting and play writing,event hosting,threatre,heritage interpretation",,hard
